
name                                    status  expected_hash
----                                    ------  -------------                                               
seed_deductive.json                     OK      sha256:980a1c01af9f5e5593653ce417070a7d06f20d283051ec8b814d…
seed_inductive.json                     OK      sha256:83e258c54bcdf05dd22f5ff0950af9bc07fc103eaf7f55ee420f…
seed_intuitive.json                     OK      sha256:7d90db7ee78f686650dbd651b9894c09770514cc1c843023ce90…
query_speed_of_light.json               MISSING sha256:75b15b73b2cda2af4a4545dc76ded044c77d371ec4017341f15c…
seed_aposteriori.json                   MISSING sha256:11c2da03edb65cc90c5a9ea7d87294b6041083a3808ad0ece929…
seed_apriori.json                       MISSING sha256:72a926be214f976ac31bc0c96038e3ff13f6e5e9f4d64786bd2b…
seed_biology.json                       MISSING sha256:3709d04ce044572b8fa4255b6544be42cfb7681a75047b03a64b…
seed_deductive_resonator.json           MISSING sha256:2de8135d0f88d4be4727fe6d04e6de01c6f82b8495292534688a…
seed_geography.json                     MISSING sha256:bffd12a3f3784043386176b9fa647f2c1e677b0f62f7b04e6155…
seed_gladwell.json                      MISSING sha256:8a7f7a8b94eeb7d369dbd9090db94eee5874ef2de11e463b112e…
seed_hedonic_reflex.json                MISSING sha256:862c0f0406f1fb20fa433329df4abccd0ef6726ffba64ff66d53…
seed_hume.json                          MISSING sha256:a0d967f833b9c6429ce791091bf435809d647196ad0e008c3549…
seed_inductive_resonator.json           MISSING sha256:da641dc788c8568efc080ea31e5ca222fafd89be843a2d4e5c6a…
seed_intuitive_resonator.json           MISSING sha256:b70678f9016c7a8db8323333215d30fa96257422955f6f8f3284…
seed_kant.json                          MISSING sha256:08a9b6b5281b03afefb6494b0195c1c183596b03bf445dffd2a7…
seed_locke.json                         MISSING sha256:23fd46f94fafa67809e6af83d815ea60cf10ca6bf7f6060fd60b…
seed_logic.json                         MISSING sha256:cb9b2dd1702e8cf5fa85887ba46cb817a3b72377fd6864970168…
seed_monotonic.json                     MISSING sha256:7f5e89474364bad3af0011d1d69d4c89f91d7c999ca393cbfb9a…
seed_nonmonotonic.json                  MISSING sha256:d8e6f1adb42f3f205335588efdab1aca56a0658fd90c7b58db27…
seed_ockhams_filter.json                MISSING sha256:d1e9a8ef7fe36dc25ac9db002e8832e2d772c16005c5fbef901c…
seed_paradoxes.json                     MISSING sha256:e5297cf50961e4fd2e55b5730eb5bcde85cd5186417071916864…
seed_proverbs.json                      MISSING sha256:8a3690d6d98529fae1473ab1fa69543c9971b5be516fb7388af8…
seed_spinoza.json                       MISSING sha256:7559ebf6d47d2f78d337bc2942a708c036ed6ecd4e70da62fe00…
seed_taleb.json                         MISSING sha256:7434c25491662c4d0baf21c2c0225b3601a43fac6f6d78e92fba…
seed.index.json                         MISSING sha256:631fbde0fa20bacd843180bf4dda63a602f7d536d718b812d8a8…
seed.physics.v0.9.0.json                MISSING sha256:55a5319f3799f46b838e531107d1fdd0229d1c4d6eca76dddf47…
SeedVault-Physics-Constants-1.1.0.json  MISSING sha256:5b362ed325638502074288d2566abec29f5690693583499931a5…
seedvault-schema-core-v1.1.0.json       MISSING sha256:fac4f34ce4410e02b08009c74d900004d48dfeaddcad9dc73902…
seedvault-units-measurements-1.1.0.json MISSING sha256:3c365f25296343359f2e68f75aa392211e0bc80b557a0b9b1bf3…
synaptic_resonator_reflect.vault.json   MISSING sha256:59ca957f03eac3c1ac9bf7f979ccdeb22147fe705acf41f91a38…
vault_biology_reference.json            MISSING sha256:7f11cd98c5b76f63d3535b9e7c09de7a64b5c2b885c8c037244d…
vault_geo_reference.json                MISSING sha256:36beac6789673c54c35d6079eb704bc050b1a4b904fed921dfcf…
vault_history_reference.json            MISSING sha256:dc27ae953a0de5cf858e19249182bfdc2a3772247e56cdd11235…
vault_math_reference.json               MISSING sha256:04f61e042b051987ccebb45dc02d4476a4cb68db12bf9f0b34ce…
vault_physics_reference.json            MISSING sha256:1fc5b0a8ba600e7fc82c1eb1962fc4ef9645a0f62e022f21db02…
vault_psych_reference.json              MISSING sha256:b6edeb61929f59dd89b04521e4cd694d76a2dc9cdf1085c898e2…

